"id";"titre";"etat";"auteur";"assignes";"labels";"sprint";"cree_le";"maj_le";"cloture_le";"url"
"29";"correction des erreurs avec WAVE";"CLOSED";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-21T06:44:49Z";"2025-10-21T06:45:12Z";"2025-10-21T06:45:04Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/29"
"30";"ajout d'une page mention l├®gales";"CLOSED";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-21T06:45:56Z";"2025-10-21T06:46:05Z";"2025-10-21T06:46:05Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/30"
"31";"correction bug favicon";"CLOSED";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-21T06:46:37Z";"2025-10-21T06:46:46Z";"2025-10-21T06:46:43Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/31"
"27";"H├®bergement du site";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T15:00:00Z";"2025-10-13T15:00:01Z";"2025-10-13T15:00:01Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/27"
"24";"Cr├®ation de la maquette Figma du site";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:54:39Z";"2025-10-13T14:54:56Z";"2025-10-13T14:54:56Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/24"
"25";"Cr├®ation d'un page plan du site";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:56:44Z";"2025-10-13T14:56:46Z";"2025-10-13T14:56:46Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/25"
"26";"Recherche analyse veille pour activit├®/jeux";"CLOSED";"younesBenahmed";"younesBenahmed|MatisROMBI";"";"";"2025-10-13T14:59:35Z";"2025-10-22T13:49:41Z";"2025-10-20T07:37:07Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/26"
"32";"header & footer";"CLOSED";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-21T06:47:10Z";"2025-10-21T06:47:21Z";"2025-10-21T06:47:21Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/32"
"1";"Messages d'erreurs plus vague";"CLOSED";"MatisROMBI";"younesBenahmed";"";"";"2025-10-13T14:17:10Z";"2025-10-20T08:08:57Z";"2025-10-20T08:08:57Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/1"
"40";"Impl├®mentation du cryptage par permutation";"CLOSED";"LoicHernndz";"LoicHernndz";"";"";"2025-10-23T12:08:21Z";"2025-10-24T13:33:59Z";"2025-10-24T13:33:59Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/40"
"45";"Cr├®ation interface statique r├®seau social";"CLOSED";"LoicHernndz";"younesBenahmed";"";"";"2025-10-23T13:27:24Z";"2025-10-25T12:32:37Z";"2025-10-25T12:32:37Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/45"
"38";"creer une branche de test avec la mise d'un linter";"CLOSED";"adamaroussibentata";"m24023995";"";"";"2025-10-22T12:53:53Z";"2025-10-23T13:11:38Z";"2025-10-23T13:11:38Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/38"
"33";"correction des erreurs css";"CLOSED";"m24023995";"m24023995";"";"";"2025-10-21T06:52:20Z";"2025-10-22T12:58:54Z";"2025-10-22T12:58:54Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/33"
"34";"Impl├®mentation du cryptage Vigen├¿re";"CLOSED";"LoicHernndz";"LoicHernndz";"";"";"2025-10-21T07:15:46Z";"2025-10-23T11:39:08Z";"2025-10-23T11:39:08Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/34"
"35";"correction bug favicon lors du partage";"CLOSED";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-21T07:41:53Z";"2025-10-24T07:25:12Z";"2025-10-24T07:25:12Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/35"
"51";"Am├®lioration du mod├¿le MVC";"CLOSED";"MatisROMBI";"LoicHernndz";"";"";"2025-10-13T14:51:07Z";"2025-10-24T13:35:32Z";"2025-10-21T06:23:38Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/51"
